,year,age,suicides_no
0,1985,15-24 years,17870
1,1985,25-34 years,20771
2,1985,35-54 years,35748
3,1985,5-14 years,984
4,1985,55-74 years,28736
5,1985,75+ years,11954
6,1986,15-24 years,18063
7,1986,25-34 years,21685
8,1986,35-54 years,37558
9,1986,5-14 years,944
10,1986,55-74 years,29760
11,1986,75+ years,12660
12,1987,15-24 years,16432
13,1987,25-34 years,22309
14,1987,35-54 years,40649
15,1987,5-14 years,935
16,1987,55-74 years,32469
17,1987,75+ years,14048
18,1988,15-24 years,15337
19,1988,25-34 years,21332
20,1988,35-54 years,38770
21,1988,5-14 years,837
22,1988,55-74 years,30538
23,1988,75+ years,14212
24,1989,15-24 years,18636
25,1989,25-34 years,29427
26,1989,35-54 years,53541
27,1989,5-14 years,1150
28,1989,55-74 years,40087
29,1989,75+ years,17403
30,1990,15-24 years,23248
31,1990,25-34 years,35276
32,1990,35-54 years,65242
33,1990,5-14 years,1477
34,1990,55-74 years,47018
35,1990,75+ years,21100
36,1991,15-24 years,23317
37,1991,25-34 years,35615
38,1991,35-54 years,68374
39,1991,5-14 years,1533
40,1991,55-74 years,48315
41,1991,75+ years,20866
42,1992,15-24 years,24727
43,1992,25-34 years,37758
44,1992,35-54 years,75051
45,1992,5-14 years,1687
46,1992,55-74 years,51506
47,1992,75+ years,20744
48,1993,15-24 years,25262
49,1993,25-34 years,39044
50,1993,35-54 years,80670
51,1993,5-14 years,1789
52,1993,55-74 years,54278
53,1993,75+ years,20522
54,1994,15-24 years,27296
55,1994,25-34 years,40946
56,1994,35-54 years,84986
57,1994,5-14 years,1760
58,1994,55-74 years,56576
59,1994,75+ years,20499
60,1995,15-24 years,29461
61,1995,25-34 years,42371
62,1995,35-54 years,89752
63,1995,5-14 years,1921
64,1995,55-74 years,59138
65,1995,75+ years,20901
66,1996,15-24 years,30365
67,1996,25-34 years,42593
68,1996,35-54 years,91280
69,1996,5-14 years,1865
70,1996,55-74 years,59979
71,1996,75+ years,20643
72,1997,15-24 years,30157
73,1997,25-34 years,41158
74,1997,35-54 years,88012
75,1997,5-14 years,1880
76,1997,55-74 years,58672
77,1997,75+ years,20866
78,1998,15-24 years,30817
79,1998,25-34 years,41706
80,1998,35-54 years,91627
81,1998,5-14 years,2082
82,1998,55-74 years,61642
83,1998,75+ years,21717
84,1999,15-24 years,31582
85,1999,25-34 years,41968
86,1999,35-54 years,96223
87,1999,5-14 years,2049
88,1999,55-74 years,62664
89,1999,75+ years,21633
90,2000,15-24 years,31742
91,2000,25-34 years,41605
92,2000,35-54 years,97814
93,2000,5-14 years,2065
94,2000,55-74 years,60973
95,2000,75+ years,21633
96,2001,15-24 years,30806
97,2001,25-34 years,40279
98,2001,35-54 years,96998
99,2001,5-14 years,2095
100,2001,55-74 years,59037
101,2001,75+ years,21437
102,2002,15-24 years,31087
103,2002,25-34 years,41536
104,2002,35-54 years,98675
105,2002,5-14 years,2064
106,2002,55-74 years,60324
107,2002,75+ years,22409
108,2003,15-24 years,30558
109,2003,25-34 years,41053
110,2003,35-54 years,98693
111,2003,5-14 years,1873
112,2003,55-74 years,60929
113,2003,75+ years,22973
114,2004,15-24 years,28702
115,2004,25-34 years,38221
116,2004,35-54 years,92531
117,2004,5-14 years,1839
118,2004,55-74 years,57103
119,2004,75+ years,22465
120,2005,15-24 years,27624
121,2005,25-34 years,37442
122,2005,35-54 years,88498
123,2005,5-14 years,1774
124,2005,55-74 years,56581
125,2005,75+ years,22456
126,2006,15-24 years,27937
127,2006,25-34 years,37221
128,2006,35-54 years,87032
129,2006,5-14 years,1755
130,2006,55-74 years,56613
131,2006,75+ years,22803
132,2007,15-24 years,27670
133,2007,25-34 years,37936
134,2007,35-54 years,85749
135,2007,5-14 years,1671
136,2007,55-74 years,56857
137,2007,75+ years,23525
138,2008,15-24 years,28145
139,2008,25-34 years,37756
140,2008,35-54 years,86664
141,2008,5-14 years,1640
142,2008,55-74 years,57687
143,2008,75+ years,23555
144,2009,15-24 years,28487
145,2009,25-34 years,39389
146,2009,35-54 years,90390
147,2009,5-14 years,1835
148,2009,55-74 years,59902
149,2009,75+ years,23484
150,2010,15-24 years,27684
151,2010,25-34 years,38317
152,2010,35-54 years,87364
153,2010,5-14 years,1760
154,2010,55-74 years,59743
155,2010,75+ years,23834
156,2011,15-24 years,27937
157,2011,25-34 years,37936
158,2011,35-54 years,85345
159,2011,5-14 years,1879
160,2011,55-74 years,59178
161,2011,75+ years,24209
162,2012,15-24 years,26280
163,2012,25-34 years,36625
164,2012,35-54 years,82482
165,2012,5-14 years,1752
166,2012,55-74 years,58443
167,2012,75+ years,24578
168,2013,15-24 years,24249
169,2013,25-34 years,35068
170,2013,35-54 years,80227
171,2013,5-14 years,1806
172,2013,55-74 years,57696
173,2013,75+ years,24153
174,2014,15-24 years,24028
175,2014,25-34 years,35381
176,2014,35-54 years,79132
177,2014,5-14 years,1882
178,2014,55-74 years,57696
179,2014,75+ years,24865
180,2015,15-24 years,21841
181,2015,25-34 years,32118
182,2015,35-54 years,71298
183,2015,5-14 years,1681
184,2015,55-74 years,53588
185,2015,75+ years,23114
186,2016,15-24 years,1195
187,2016,25-34 years,2070
188,2016,35-54 years,5766
189,2016,55-74 years,4715
190,2016,75+ years,1857
